web_scraper_order,web_scraper_start_url,Marque,Modele,prix,Kilometrage,Boite_de_vitesse,Region_de_vente,Annee,pagination
"1786243718-150","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2008 Mazda 2","2008 Mazda 2","CFA 1 100 000","140 000 km","A cause d'un accident! A bazarder Mazda 2 tres propre/Annee 2008/ essence Manuel. A prevoir reparation parabrise/parechoc avant/ Tolerie...etc Prix bazard: 1.100.000f Contact: 782718278 ou 764823888","Dakar","2008 Mazda 2","https://www.gaaraas.com/fr/users/dakar-auto?page=9"
"1786243718-151","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2007 Peugeot 307","2007 Peugeot 307","CFA 2 200 000","160 000 km","Peugeot 307 en excellent etat/ Diesel Manuel/ Climatisé. Prix last: 2.200.000f Contact: 782718278 ou 764823888","Dakar","2007 Peugeot 307","https://www.gaaraas.com/fr/users/dakar-auto?page=9"
"1786243718-152","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2006 Hyundai Sonata","2006 Hyundai Sonata","CFA 2 000 000","140 000 km","🚨Wanterr🚨Hyundai Sonata 2006 Automatique Essence moteur d’origine nickel Papier en régles et vous bénéficiez d’un an d’assurance et d’un an de visite technique Prix: 👉 2 millions last👉 Contact Appel ou whatsapp: 764823888 ou 782718278","Dakar","2006 Hyundai Sonata","https://www.gaaraas.com/fr/users/dakar-auto?page=9"
"1786243718-153","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2006 Peugeot 406","2006 Peugeot 406","CFA 2 500 000","160 000 km","Wanter Peugeot 406 / Diesel Manuel. Prix last: 2.500.000f Contact: 782718278 ou 764823888","Dakar","2006 Peugeot 406","https://www.gaaraas.com/fr/users/dakar-auto?page=9"
"1786243718-154","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2010 Hyundai Tucson","2010 Hyundai Tucson","CFA 4 200 000","79 044 km","Hyundai tucson essence manuelle année 2010. Premier main acheté 0km à matforce. Etat comme neuf 79 044 km. full options: interieur tissu, clim, airbag, lecture radio cd grand écran, system abs jantes, alu vitres électrique. Voiture propre et en bon état. Prix: 4.200.000f Contact: 782718278 ou 764823888","Dakar","2010 Hyundai Tucson","https://www.gaaraas.com/fr/users/dakar-auto?page=9"
"1786243718-155","https://www.gaaraas.com/fr/users/dakar-auto?page=2","1989 Mercedes‒Benz 190","1989 Mercedes‒Benz 190","CFA 1 900 000","160 000 km","Wanter Mercedes 190/ Diesel Manuel/ Papiers complets. Prix: 1.900.000f Contact: 782718278 ou 764823888","Dakar","1989 Mercedes‒Benz 190","https://www.gaaraas.com/fr/users/dakar-auto?page=9"
"1786243718-156","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2009 Chrysler Sebring","2009 Chrysler Sebring","CFA 2 000 000","99 000 km","Wanter Chrysler Sebring automatique essence année 2009 km99800 a 2 millions last. Contact Appel ou Whatsapp: 782718278 ou 764823888","Dakar","2009 Chrysler Sebring","https://www.gaaraas.com/fr/users/dakar-auto?page=9"
"1786243718-157","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2010 Toyota Camry","2010 Toyota Camry","CFA 4 500 000","110 000 km","Toyota camry en excellent Etat. Année 2011. Essence automatique. 4 cylindres Prix: 4.500.000F Contact: 782718278 ou 764823888","Dakar","2010 Toyota Camry","https://www.gaaraas.com/fr/users/dakar-auto?page=9"
"1786243718-158","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2010 Skoda Octavia","2010 Skoda Octavia","CFA 2 600 000","160 000 km","SKODA Octavia année 2010 diesel climatisé, intérieur cuir, venant d'Espagne. Prix 2600000 FRCS cfa last Contact: 782718278 ou 764823888","Dakar","2010 Skoda Octavia","https://www.gaaraas.com/fr/users/dakar-auto?page=9"
"1786243718-159","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2013 Hyundai Sonata","2013 Hyundai Sonata","CFA 5 200 000","92 000 km","Wanter Hyundai Sonata 2013 automatic 92000km essence Prix fixe: 5,2 millions Contact Appel ou whatsapp: 782718278 ou 764823888.","Dahra","2013 Hyundai Sonata","https://www.gaaraas.com/fr/users/dakar-auto?page=9"
"1786243718-160","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2010 Toyota Corolla","2010 Toyota Corolla","CFA 3 500 000","88 997 km","Toyota Corrola 2010/ Diesel manuel/ 88997km/ Prix: 3.500.000f Contact: 782718278 ou 764823888","Dakar","2010 Toyota Corolla","https://www.gaaraas.com/fr/users/dakar-auto?page=9"
"1786243721-161","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2009 Peugeot 308","2009 Peugeot 308","CFA 2 600 000","120 000 km","Wantér 308 essence manuel climatisée 2009 mitasion 4/8/2011. Prix: 2.600.000f Contact Appel ou Whatsapp: 782718278 ou 764823888","Dakar","2009 Peugeot 308","https://www.gaaraas.com/fr/users/dakar-auto?page=10"
"1786243721-162","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2008 Toyota Avensis","2008 Toyota Avensis","CFA 2 500 000","160 000 km","A bazarder Toyota Avensis / Diesel Manuel/ annee: 2008 / Volant a Droite. Prix: 2.500.000f Contact: 782718278 ou 764823888","Dakar","2008 Toyota Avensis","https://www.gaaraas.com/fr/users/dakar-auto?page=10"
"1786243721-163","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2007 Toyota Corolla","2007 Toyota Corolla","CFA 4 300 000","235 000 km","Vente Toyota Corrola D4D Moteur Chaine Climatisée avec Camera de Recul/Diesel Manuel / Annee:2007/ 235209km/Visite technique jusqu'en 2020. Prix: 4.300.000f Contact: 782718278 ou 764823888.","Dakar","2007 Toyota Corolla","https://www.gaaraas.com/fr/users/dakar-auto?page=10"
"1786243721-164","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2005 Volkswagen Golf","2005 Volkswagen Golf","CFA 2 200 000","180 000 km","A Bazarder Golf4 /Diesel Manuel/ Annee: 2005. Prix: 2.200.000f Contact: 782718278 ou 764823888","Dakar","2005 Volkswagen Golf","https://www.gaaraas.com/fr/users/dakar-auto?page=10"
"1786243721-165","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2002 Renault 21","2002 Renault 21","CFA 2 200 000","160 000 km","R21 Propre/ Diesel Manuel. Prix last: 2.200.000f Contact: 782718278 ou 764823888","Dakar","2002 Renault 21","https://www.gaaraas.com/fr/users/dakar-auto?page=10"
"1786243721-166","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2006 Toyota Avensis","2006 Toyota Avensis","CFA 1 600 000","186 000 km","A bazarder Toyota Avensis petit probleme de moteur/ Diesel manuel/ Annee: 2006. Prix wanter: 1.600.000f Contact: 782718278 ou 764823888","Dakar","2006 Toyota Avensis","https://www.gaaraas.com/fr/users/dakar-auto?page=10"
"1786243721-167","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2007 Toyota Verso","2007 Toyota Verso","CFA 2 500 000","313 000 km","Toyota Corolla verso moteur chaîne diesel papier complet visite technique valable 2020/ 313050km/ Annee:2007/ 6 places d'Origine. Prix last: 2.500.000f Contact Appel ou Whatsapp: 764823888 ou 782718278","Dakar","2007 Toyota Verso","https://www.gaaraas.com/fr/users/dakar-auto?page=10"
"1786243721-168","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2007 Renault Safrane","2007 Renault Safrane","CFA 2 200 000","160 000 km","Wanter Renault Safrane en bon etat/ Diesel Manuel. Prix: 1700000 Contact: 782718278 ou 764823888","Dakar","2007 Renault Safrane","https://www.gaaraas.com/fr/users/dakar-auto?page=10"
"1786243721-169","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2008 Renault Scenic","2008 Renault Scenic","CFA 2 000 000","130 000 km","Renault scénic Diesel Manuel Année 2008 Prix: 2 millions. Contact Appel ou Whatsapp: 782718278 ou 764823888.","Dakar","2008 Renault Scenic","https://www.gaaraas.com/fr/users/dakar-auto?page=10"
"1786243721-170","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2008 Chery A113","2008 Chery A113","CFA 1 700 000","79 000 km","Chery QQ /Essence manuel climatisée ANNÉE 2008 79000kms Prix: 1.700.000f Contact: 782718278 ou 764823888","Dakar","2008 Chery A113","https://www.gaaraas.com/fr/users/dakar-auto?page=10"
"1786243721-171","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2007 Renault Clio","2007 Renault Clio","CFA 1 750 000","120 000 km","Offre du jour clio2 diesel manuel / Annee: 2007/climatisé très propre moteur et organe nickel papier en règle prix: 1.750.000f Contact Appel ou Whatsapp: 782718278 ou 764823888.","Dakar","2007 Renault Clio","https://www.gaaraas.com/fr/users/dakar-auto?page=10"
"1786243721-172","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2009 Renault Megane","2009 Renault Megane","CFA 3 300 000","233 200 km","Renault Megane 3/ Diesel Manuel/ 233200km/ annee: 2009. Prix: 3.200.000f Contact: 782718278 ou 764823888","Dakar","2009 Renault Megane","https://www.gaaraas.com/fr/users/dakar-auto?page=10"
"1786243721-173","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2012 Peugeot 508","2012 Peugeot 508","CFA 4 700 000","102 220 km","Peugeot 508 sw 2012 Diesel manuelle 6 vitesses mutation récente 102220km propre intérieur extérieur moteur impeccable. prix Wanter: 4.700 000f Contact: 782718278 ou 764823888","Dakar","2012 Peugeot 508","https://www.gaaraas.com/fr/users/dakar-auto?page=10"
"1786243721-174","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2007 Citroen C4","2007 Citroen C4","CFA 2 200 000","160 000 km","A Bazarder Citroen Berlingo / Diesel Manuel. Prix last: 2.200.000f Contact: 782718278 ou 764823888","Dakar","2007 Citroen C4","https://www.gaaraas.com/fr/users/dakar-auto?page=10"
"1786243721-175","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2008 Peugeot 308","2008 Peugeot 308","CFA 2 800 000","160 000 km","PEUGEOT 308/ MANUEL DIÈSEL RIEN À SIGNALER MACHALA PRIX 2.8 MiLLION LAST Contact Appel ou whatsapp: 782718278 ou 764823888","Dakar","2008 Peugeot 308","https://www.gaaraas.com/fr/users/dakar-auto?page=10"
"1786243721-176","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2007 Toyota Yaris","2007 Toyota Yaris","CFA 2 700 000","180 000 km","Yaris/diesel manuel/ annee: 2007. Prix last: 2.700.000f","Dakar","2007 Toyota Yaris","https://www.gaaraas.com/fr/users/dakar-auto?page=10"
"1786243721-177","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2011 Nissan Juke","2011 Nissan Juke","CFA 5 500 000","157 000 km","Nissan juke 2011/ Venant d'Italie/ diesel manuel sous douane / 157000km/ Prix: 5.500.000f Contact: 782718278 ou 764823888","Dakar","2011 Nissan Juke","https://www.gaaraas.com/fr/users/dakar-auto?page=10"
"1786243721-178","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2007 Ford Focus","2007 Ford Focus","CFA 2 700 000","100 000 km","Wanter Ford focus Venant climatisé en excellent etat/ Essence automatique/ Annee: 2007. Prix: 2.700.000f Contact Appel ou Whatsapp: 782718278 ou 764823888.","Dakar","2007 Ford Focus","https://www.gaaraas.com/fr/users/dakar-auto?page=10"
"1786243721-179","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2010 Toyota Corolla","2010 Toyota Corolla","CFA 3 200 000","90 000 km","Toyota corrola 2010..gasoil manuelle! Clim a prevoir. Prix: 3.200.000 fcfa Contact: 782718278 ou 764823888","Dakar","2010 Toyota Corolla","https://www.gaaraas.com/fr/users/dakar-auto?page=10"
"1786243721-180","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2007 Mercedes‒Benz 190","2007 Mercedes‒Benz 190","CFA 2 900 000","160 000 km","A bazarder Mercedes 180/ Essence automatique/ 4 Cylindres. Prix: 2.900.000f Contact: 771873537 / 782718278 ou 764823888","Dakar","2007 Mercedes‒Benz 190","https://www.gaaraas.com/fr/users/dakar-auto?page=10"
"1786243724-181","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2010 Nissan Rogue","2010 Nissan Rogue","CFA 8 500 000","84 500 km","Nissan rogue année 2010 boîte automatique essence: Kilométrage 84500, le dernier prix est: 8.500.000f Contact: 782718278 ou 764823888","Dakar","2010 Nissan Rogue","https://www.gaaraas.com/fr/users/dakar-auto?page=11"
"1786243724-182","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2005 Hyundai Santa Fe","2005 Hyundai Santa Fe","CFA 3 500 000","300 000 km","Hyundai santa fée manuel diesel année 2005 version 4x4 climatisé km 312805 avec plaque DK AK. Prix: 3.500.000f 🇸🇳 kou yekh niak 💰💰💰💰💰 Contact: 782718278 ou 764823888","Dakar","2005 Hyundai Santa Fe","https://www.gaaraas.com/fr/users/dakar-auto?page=11"
"1786243724-183","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2015 Ford Focus","2015 Ford Focus","CFA 5 800 000","29 000 km","Wanter Ford focus 2015 titanium full option/ Climatisée/ automatique essence / 29000km / camera de recul bluetooth wifi lecteur syn baffle sony. Prix Kheweul: 5.800.000f Contact Appel ou Whatsapp:764823888 ou 782718278","Dakar","2015 Ford Focus","https://www.gaaraas.com/fr/users/dakar-auto?page=11"
"1786243724-184","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2010 Peugeot 807","2010 Peugeot 807","CFA 4 800 000","160 000 km","A bazarder Peugeot 807 Break 7places/Diesel Manuel/ Annee: 2010. Prix: 4.800.000f Contact: 782718278 ou 764823888","Dakar","2010 Peugeot 807","https://www.gaaraas.com/fr/users/dakar-auto?page=11"
"1786243724-185","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2007 Peugeot 407","2007 Peugeot 407","CFA 2 000 000","110 000 km","Wanter Peugeot 407 en excellent etat/ essence manuel/ Annee: 2007/ plus de 100.000km Prix last: 782718278 ou 764823888","Dakar","2007 Peugeot 407","https://www.gaaraas.com/fr/users/dakar-auto?page=11"
"1786243724-186","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2000 Peugeot 205","2000 Peugeot 205","CFA 1 500 000","160 000 km","Big Wanter,A Bazarder vite fais Peugeot 205/ Diesel Manuel. Prix last: 1.500.000f Contact: 782718278 ou 764823888","Dakar","2000 Peugeot 205","https://www.gaaraas.com/fr/users/dakar-auto?page=11"
"1786243724-187","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2007 Toyota RAV4","2007 Toyota RAV4","CFA 4 000 000","145 000 km","Wanter Toyota rav4 diesel manuelle climatisé / Annee: 2007/ 144.000km en bon état. Prix Wanter: 4 millions Contact Appel ou Whatsapp: 782718278 ou 764823888.","Dakar","2007 Toyota RAV4","https://www.gaaraas.com/fr/users/dakar-auto?page=11"
"1786243724-188","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2008 Peugeot 307","2008 Peugeot 307","CFA 2 000 000","120 000 km","Wanter!! Peugeot 207 diesel manuel climatisé très puissant décapotable. Prix last: 2 millions Contact Appel ou Whatsapp: 782718278 ou 764823888","Dakar","2008 Peugeot 307","https://www.gaaraas.com/fr/users/dakar-auto?page=11"
"1786243724-189","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2006 Renault Scenic","2006 Renault Scenic","CFA 2 200 000","140 000 km","Vente Renault Scenic Tres Propre année 2006 /gasoil /Manuel diesel 6 vitesses. Prix: 2.200.000f Contact Appel ou Whatsapp: 764823888 ou 782718278","Dakar","2006 Renault Scenic","https://www.gaaraas.com/fr/users/dakar-auto?page=11"
"1786243724-190","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2011 Nissan Teana","2011 Nissan Teana","CFA 8 000 000","90 000 km","Nissan Qashqai / essence manuel 2011 / Prix: 8millions Contact: 782718278 ou 764823888","Dakar","2011 Nissan Teana","https://www.gaaraas.com/fr/users/dakar-auto?page=11"
"1786243724-191","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2010 Dacia Sandero","2010 Dacia Sandero","CFA 2 200 000","160 000 km","A bazarder Dacia sandero année 2010 Essence manuel Moteur ordinaire Injection 1.4L faible consommation Prix Last: 2.200.000f Contact: 782718278 ou 764823888","Dakar","2010 Dacia Sandero","https://www.gaaraas.com/fr/users/dakar-auto?page=11"
"1786243724-192","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2008 Lada Niva","2008 Lada Niva","CFA 1 500 000","160 000 km","Wanter Lada 112 climatisé tout intact, Papiers complets/ Essence manuel/ Annee: 2008. Prix: 1.500.000f Contact: 782718278 ou 764823888","Dakar","2008 Lada Niva","https://www.gaaraas.com/fr/users/dakar-auto?page=11"
"1786243724-193","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2009 Dacia Logan","2009 Dacia Logan","CFA 2 800 000","500 000 km","A Bazarder Taxi Dacia logan Nouveau Model/Diesel Manuel/ 500.000km. Prix: 2.800.000f Contact: 782718278 ou 764823888","Dakar","2009 Dacia Logan","https://www.gaaraas.com/fr/users/dakar-auto?page=11"
"1786243724-194","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2003 Peugeot 406","2003 Peugeot 406","CFA 2 400 000","160 000 km","Wanter Des peugeot 406 climatisé venant avec Papiers complet / diesel manuel ou essence dispo a partir de 2.400.000f Contact: 782718278 ou 764823888","Dakar","2003 Peugeot 406","https://www.gaaraas.com/fr/users/dakar-auto?page=11"
"1786243724-195","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2015 Jeep Patriot","2015 Jeep Patriot","CFA 9 500 000","51 200 km","4x4Jeep Patriots venant: année 2015 automatique essence climatisé / 51200 km Prix: 9,5 millions Contact: 782718278 ou 764823888","Dakar","2015 Jeep Patriot","https://www.gaaraas.com/fr/users/dakar-auto?page=11"
"1786243724-196","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2008 Renault Scenic","2008 Renault Scenic","CFA 2 200 000","16 000 km","Vente Renault Scenic Diesel Manuel/ 2008. Prix: 2.200.000f Contact: 782718278 ou 764823888","Dakar","2008 Renault Scenic","https://www.gaaraas.com/fr/users/dakar-auto?page=11"
"1786243724-197","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2011 Ford Escape","2011 Ford Escape","CFA 5 800 000","0 km","Wanter Ford Escape 2011 Venant tres propre climatisé/ Essence automatique/ 4cylindres / 114.000km. Prix last: 5.800.000f Contact Appel ou Whatsapp: 782718278 ou 764823888","Dakar","2011 Ford Escape","https://www.gaaraas.com/fr/users/dakar-auto?page=11"
"1786243724-198","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2007 Toyota RAV4","2007 Toyota RAV4","CFA 5 200 000","120 000 km","Toyota Rav4 / Essence manuel /2007 a 5.200.000f Contact: 782718278 ou 764823888","Dakar","2007 Toyota RAV4","https://www.gaaraas.com/fr/users/dakar-auto?page=11"
"1786243724-199","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2006 Hyundai Tucson","2006 Hyundai Tucson","CFA 4 000 000","298 000 km","Hyundai tucson anné 2006 diesel manuelle 298mille km prix 4.000.000f Contact: 782718278 ou 764823888","Dakar","2006 Hyundai Tucson","https://www.gaaraas.com/fr/users/dakar-auto?page=11"
"1786243724-200","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2007 Citroen C3","2007 Citroen C3","CFA 2 400 000","180 000 km","A Vendre Citroen C3 en Excellent etat/Essence Manuel / Année 2007. Prix last: 2.400.000 f Contact: 782718278 ou 764823888","Dakar","2007 Citroen C3","https://www.gaaraas.com/fr/users/dakar-auto?page=11"
"1786243727-201","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2000 Peugeot 205","2000 Peugeot 205","CFA 1 400 000","160 000 km","Peugeot 205 tres propre/ Essence Manuel. Prix last: 1.400.000f Contact: 782718278 ou 764823888","Dakar","2000 Peugeot 205","https://www.gaaraas.com/fr/users/dakar-auto?page=12"
"1786243727-202","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2005 Peugeot 307","2005 Peugeot 307","CFA 2 100 000","160 000 km","307 diesel manuel papier complet moteur 406 année 2005. Prix: 2.100.000f last CONTACT: 782718278 OU 764823888","Dakar","2005 Peugeot 307","https://www.gaaraas.com/fr/users/dakar-auto?page=12"
"1786243727-203","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2013 Jeep Wrangler","2013 Jeep Wrangler","CFA 20 000 000","100 000 km","Vente Jeep wrangler 2013 4cylindre essence automatique Full option A 20.000.000 Contact: 782718278 ou 764823888","Dakar","2013 Jeep Wrangler","https://www.gaaraas.com/fr/users/dakar-auto?page=12"
"1786243727-204","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2004 Peugeot 406","2004 Peugeot 406","CFA 2 700 000","120 000 km","A Bazarder Peugeot 406 Type 2 en Tres bon etat/ Diesel Manuel 2004/ Prix last: 2.700.000f Contact: 782718278 ou 764823888","Dakar","2004 Peugeot 406","https://www.gaaraas.com/fr/users/dakar-auto?page=12"
"1786243727-205","https://www.gaaraas.com/fr/users/dakar-auto?page=2","1989 Renault 19","1989 Renault 19","CFA 1 500 000","140 000 km","A bazarder R19/ Diesel Manuel. Prix last: 1.500.000f Contact Appel ou Whatsapp: 764823888 ou 782718278","Dakar","1989 Renault 19","https://www.gaaraas.com/fr/users/dakar-auto?page=12"
"1786243727-206","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2010 Toyota RAV4","2010 Toyota RAV4","CFA 9 600 000","180 000 km","Toyota RAV4 / Diesel / Annee: 2010/ automatique, climatisez,6 vitesses, veirroullage central, kilometrage: 180.000 / 9.600.000f Contact:InBox ou 782718278","Dakar","2010 Toyota RAV4","https://www.gaaraas.com/fr/users/dakar-auto?page=12"
"1786243727-207","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2008 Peugeot 308","2008 Peugeot 308","CFA 2 700 000","160 000 km","308 années 2008 diesel manuel kilomètres 160000 bon état prix 2.700.000f Contact: 782718278 ou 764823888","Dakar","2008 Peugeot 308","https://www.gaaraas.com/fr/users/dakar-auto?page=12"
"1786243727-208","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2005 Peugeot 405","2005 Peugeot 405","CFA 1 900 000","120 000 km","Vente Peugeot 405 diesel manuel. Prix: 1.900.000f Contact Appel ou Whatsapp: 782718278 ou 764823888.","Dakar","2005 Peugeot 405","https://www.gaaraas.com/fr/users/dakar-auto?page=12"
"1786243727-209","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2010 Peugeot 308","2010 Peugeot 308","CFA 2 900 000","120 000 km","Big Wanter 308 diesel manuel moteur impect papier complet climatisé année 2010 tout nickel prix 2.900.000 f Contact Appel ou Whatsapp: 771873537 ou 764823888 ou 782718278.","Dakar","2010 Peugeot 308","https://www.gaaraas.com/fr/users/dakar-auto?page=12"
"1786243727-210","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2006 Nissan 200SX","2006 Nissan 200SX","CFA 1 600 000","180 000 km","Nissan gasoil papier complet année 2006 Prix: 1.600.000f Contact: 782718278 ou 764823888","Dakar","2006 Nissan 200SX","https://www.gaaraas.com/fr/users/dakar-auto?page=12"
"1786243727-211","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2011 Mitsubishi L200","2011 Mitsubishi L200","CFA 6 000 000","120 000 km","A bazarder Mitsubishi L200 double Cabine/ diesel manuel climatisé très propre moteur d'origine papier en règle. Prix: 6 millions Contact Appel ou Whatsapp: 782718278 ou 764823888.","Dakar","2011 Mitsubishi L200","https://www.gaaraas.com/fr/users/dakar-auto?page=12"
"1786243727-212","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2006 Citroen Berlingo","2006 Citroen Berlingo","CFA 2 400 000","180 000 km","A Vendre Berlingo/ diesel Manuel/ 178.000km/ 2006 . Prix: 2.400.000f Contact: 782718278 ou 764823888","Dakar","2006 Citroen Berlingo","https://www.gaaraas.com/fr/users/dakar-auto?page=12"
"1786243727-213","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2004 Peugeot 305","2004 Peugeot 305","CFA 1 600 000","128 000 km","wanter 405 bon état / Diesel Manuel/ Prix 1600.000fr Contact: 782718278 ou 764823888","Dakar","2004 Peugeot 305","https://www.gaaraas.com/fr/users/dakar-auto?page=12"
"1786243727-214","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2007 Renault Megane","2007 Renault Megane","CFA 2 700 000","180 000 km","Megane 7 Places/ Diesel manuel climatisée allumage par carte .annee 2007 ,1.5 moteur de 4 cylindres. Prix last: 2.700.000f Contact: 782718278 ou 764823888","Dakar","2007 Renault Megane","https://www.gaaraas.com/fr/users/dakar-auto?page=12"
"1786243727-215","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2012 Ford Focus ST","2012 Ford Focus ST","CFA 3 300 000","140 000 km","🛑🛑🛑🛑 Big Promo Tabaski🐑 Ford focus sport année 2012. Titanium. Venant des USA. Essence Automatique. 140.000km. Prix 3 300 000 frs Sous douane. Contact: 782718278 ou 764823888","Dakar","2012 Ford Focus ST","https://www.gaaraas.com/fr/users/dakar-auto?page=12"
"1786243727-216","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2014 Ford Escape","2014 Ford Escape","CFA 8 200 000","105 000 km","Escape 2014 bon état, 108000km, écran recul radar moteur 4 cylindre, essence V6 Prix 8.200.000 Fcfa","Dakar","2014 Ford Escape","https://www.gaaraas.com/fr/users/dakar-auto?page=12"
"1786243727-217","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2006 Citroen Xsara","2006 Citroen Xsara","CFA 1 800 000","160 000 km","Citroën xsara Diesel manuel Parfait état moteur nikel. Prix : 1.800.000 Fr🤠 Contact Appel ou Whatsapp: 782718278 ou 764823888.","Dakar","2006 Citroen Xsara","https://www.gaaraas.com/fr/users/dakar-auto?page=12"
"1786243727-218","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2012 Peugeot 308","2012 Peugeot 308","CFA 3 900 000","160 000 km","Le brade du jour! 308 manuel diesel 7 places dorigine d une annee de 2012 tre propre Prix cadeau: 3.900.000 f Contact Appel ou Whatsapp: 782718278 ou 764823888","Dakar","2012 Peugeot 308","https://www.gaaraas.com/fr/users/dakar-auto?page=12"
"1786243727-219","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2008 Citroen C4","2008 Citroen C4","CFA 2 100 000","90 925 km","A bazarder Citroën C4 année 2008 manuelle essence/ 90925 km. Prix: 2.100.000 Contact Appel ou Whatsapp: 782718278 ou 764823888","Dakar","2008 Citroen C4","https://www.gaaraas.com/fr/users/dakar-auto?page=12"
"1786243727-220","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2008 Renault Megane","2008 Renault Megane","CFA 1 850 000","120 000 km","Wanter Megane Z tres Propre. Diesel manuelle climatisé Année 2008 Prix: 1 850 000f Contact Appel ou Whatsapp: 782718278 ou 764823888.","Dakar","2008 Renault Megane","https://www.gaaraas.com/fr/users/dakar-auto?page=12"
"1786243729-221","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2008 Dacia Logan","2008 Dacia Logan","CFA 2 600 000","137 000 km","Dacia 2008,muté taxi en 2016 aucun probleme tout est nikel,moteur ordinaire,diesel. Prix last: 2.600.000 f Contact: 782718278 ou 764823888","Dakar","2008 Dacia Logan","https://www.gaaraas.com/fr/users/dakar-auto?page=13"
"1786243729-222","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2007 Peugeot 307","2007 Peugeot 307","CFA 2 100 000","175 598 km","307 type1 / Diesel Manuel/ 2008/ 175598 km. Prix last: 2.100.000f Contact: 782718278 ou 764823888","Dakar","2007 Peugeot 307","https://www.gaaraas.com/fr/users/dakar-auto?page=13"
